CATEGORY_NAME,CONTENT_ID,CONTENT_NAME,CONTENT_TYPE,DEPTH,EXPIRE_DATE,LAST_UPDATED_DATE,PUBLISH_DATE,STATUS,SUMMARY_TEXT,TEXT,URL
2019 Reports (Weekly),741535,"September 2, 2019 to September 8, 2019 Facility Permit Intakes",B,2,,2019-09-09 16:10:03 UTC,2019-09-09 16:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741535
2019 Reports (Weekly),741538,"September 2, 2019 to September 8, 2019 Land Use Review Intakes",B,2,,2019-09-09 16:12:03 UTC,2019-09-09 16:11:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741538
2019 Reports (Weekly),741540,"September 2, 2019 to September 8, 2019 Issued Commercial Building Permits",B,2,,2019-09-09 16:16:11 UTC,2019-09-09 16:15:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741540
2019 Reports (Weekly),741541,"September 2, 2019 to September 8, 2019 Commercial Building Permit Intakes",B,2,,2019-09-09 16:16:25 UTC,2019-09-09 16:16:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741541
2019 Reports (Weekly),741984,"September 9, 2019 to September 15, 2019 Issued Residential Permits",B,2,,2019-09-16 17:31:34 UTC,2019-09-16 17:31:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741984
2019 Reports (Weekly),741985,"September 9, 2019 to September 15, 2019 Residential Permit Intakes",B,2,,2019-09-16 17:31:52 UTC,2019-09-16 17:31:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741985
2019 Reports (Weekly),741986,"September 9, 2019 to September 15, 2019 Issued Facility Permits",B,2,,2019-09-16 17:32:09 UTC,2019-09-16 17:31:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741986
2019 Reports (Weekly),741987,"September 9, 2019 to September 15, 2019 Facility Permit Intakes",B,2,,2019-09-16 17:32:27 UTC,2019-09-16 17:32:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741987
2019 Reports (Weekly),741988,"September 9, 2019 to September 15, 2019 Land Use Review Intakes",B,2,,2019-09-16 17:32:48 UTC,2019-09-16 17:32:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741988
2019 Reports (Weekly),741989,"September 9, 2019 to September 15, 2019  Issued Commercial Building Permits",B,2,,2019-09-16 17:33:09 UTC,2019-09-16 17:32:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741989
